epoch,accuracy,loss,val_accuracy,val_loss
0,0.5450000166893005,0.7212714552879333,0.5099999904632568,0.6753389239311218
1,0.6075000166893005,0.6607074737548828,0.7099999785423279,0.621480405330658
2,0.7066666483879089,0.5706965923309326,0.8100000023841858,0.4596487283706665
3,0.784166693687439,0.46591073274612427,0.8550000190734863,0.3346978724002838
4,0.8600000143051147,0.31285610795021057,0.9399999976158142,0.16956593096256256
5,0.9358333349227905,0.1715538650751114,0.9850000143051147,0.05355123430490494
6,0.9808333516120911,0.06680954247713089,0.9900000095367432,0.05197684466838837
7,0.9850000143051147,0.07949226349592209,1.0,0.019910667091608047
8,0.9808333516120911,0.069999098777771,0.9950000047683716,0.02963816188275814
9,0.9891666769981384,0.03627327084541321,1.0,0.0047416603192687035
